mysticsMystik cultsKult	BetazoidsBetazoiden;37;AK;
realReale legitEchte	BetazoidsBetazoiden;37;AK;
exotericsExoterik Religion	BetazoidsBetazoiden;36;AJ;
esotericsEsoterik	BetazoidsBetazoiden;35;AI;
mysticsMystik cultsKult	archonsArchonten;33;AG;
realReale legitEchte	archonsArchonten;33;AG;
exotericsExoterik orOder Religion	archonsArchonten;32;AF;
esotericsEsoterik	archonsArchonten;32;AF;
realReale legitEchte	elEl auriansAurianer elariansElarianer;31;AE;
mysticsMystik cultsKult	elEl auriansAurianer elariansElarianer;31;AE;
exotericsExoterik orOder Religion	elEl auriansAurianer elariansElarianer;30;AD;
realReale legitEchte	godsGötter;30;AD;
mysticsMystik cultsKult	godsGötter;30;AD;
esotericsEsoterik	elEl auriansAurianer elariansElarianer;29;AC;
exotericsExoterik Religion	godsGötter;29;AC;
esotericsEsoterik	godsGötter;28;AB;
realReale legitEchte	deepNach thinkerDenker;29;AC;
mysticsMystik cultsKult	deepNach thinkerDenker;29;AC;
exotericsExoterik orOder Religion	deepNach thinkerDenker;28;AB;
esotericsEsoterik	deepNach thinkerDenker;27;AA;
