carbonKohlenstoff (sixSechs protonsProtonen hexagramHexagramm F F) multiverseMultiversum dimensionsDimensionen responsibleVerantwortliche sixteenSechzehn hexadecadegramHexadekadegramm P P continuumKontinuum orderOrdnung, meIch selfSelbst declaredErnannter emperorImperator kernatorKernator, selfSelbst declaredErnannter subduerUnterdruecker obedienceGehorsamkeits causerBewirker kernatorKernator hierarchyHierarchie suppressionUnterdrueckung systemSystem solSonne sunSonne starSternen systemSystem improvementVerbesserungs optimizationOptimierung responsibleVerantwortlicher kernatorKernator;;
Meta-Chemie alias Alchemie, z.B. Zahl kombiniert mit Winkel ergibt Vektor, sind Kombinationen (14), aber z.B. auch 18 n zu m Relationen, eine Spalte erklärt den Zusammenhang zwischen zwei weiteren Spalten;AntaresAntares starSternen systemSystem anteranersAnteraner areSind BothBeide mixedGemischt speciesSpezies alikeWie humanoidHumanoide mankindMenschheit andUnd withMit AsgardAsgard graysGraue psilonsPsilons antikerAntiker combinedKombiniert fusionedFusioniert sixteenSechszehn hexadegramHexadegramm hexadecadegramHexadekadegramm P P thirtyoneEinunddreissig AE AE henatriacontagramHenatriakontagramm;
Chemie (Universum Recht [gegenueber Strassen-Recht] Schwarzafrikaner Recht);OrionOrion starSternen systemSystem orionsOrionen alikeWie humansMenschen humanoidHumaoide butAber hugeRiesige bigGrosses brainGehirn visibleSichtbar andUnd blackSchwarze skinHaut colorFarbe asWie africansAfrikaner pentadegramPentadegramm pentedecadegramPentedekadegramm fifeteenFuenfzehn O O thirtyDreissig AD AD triakontagramTriacontagramm;
Sprechen Reden;AsgardAsgard graysGraue psilonsPsilons antikerAntiker psiPsi - lonsLons withMit psiPsi forcesKraeften (notNicht tristaidecagramTristaidekagramm butAber) tetraidegramTetraidegramm fourteenVierzehn N N twentynineNeunundzwanzig AC AC enneaicosigramEnneaicosigramm orOder nonaicosigramNonaikosigramm;
Signale;reptoloidsReptoloide sakkraSakkra asWie crocodileKrokodil dragonDrache dinosaurDinosaurier snakeSchlange salamanderSalamander starSternen groupGruppe drakonDrakon drakonisDrakonis tristaidegramTristaidegramm thirteenDreizehn M M twentyeightAchtundzwanzig AB AB oktaicosigramOktaikosigramm;
Strahlung, geistiger mentaler Gehirn mehrere Kosmosse, Temperatur, Temperament, Lebhaftigkeit englisch Spiritedness;blueBlaue plejadesPlejaden alikeWie similarAehnlich humansMenschen humanoidMenschlich alikeAehnlich dodecadegramDodekadegramm twelveZwoelf L L twentysevenSiebenundzwanzig AA AA heptaicosigramHeptaikosigramm;
Delta-Verschränkung, Verhaltens-Entagelment (nicht unbedingt notwendigerweise Quanten Q);protosProtos predatorsPraedatoren predatorsRaubkrieger hendegramHendegramm elevenElf K K twentysixSechsundzwanzig Z Z hexicosigramHexikosigramm;
Strukturwissenschaft wie Mathe, Kybernetik, Systemtheorie, Rechnen, eigene Wissenschaft Aufzaehlen Inkrementieren (mit Coroutine Prozeduren Funktionen Continuations oder Schleifen oder Rekursionen zaehlen Iterator Objekte);humanoidHumanoide humansMenschen peopleVolk decagramDekagramm tenZehn J J twentyfifeFuenfundzwanzig Y Y penteicosigramPenteikosigramm;
Transzendenz;fromVon antaresAntares fromVon charZeichen zergsZerg aliensFremde nonagramNonagramm nineNeun I I twentyfourVierundzwanzig X X tessaraicosigramTessaraikosigramm;
Meta-Physik reta Kommandozeilenprogramm und Religionstabelle Html PyPy Python Typescript Javascript und Religion 10 Texte von trace Jupiter 3.0 (Planeten-Recht);insectiodsInsektoide collectivesKollektive aliensFremde klackonsKlackonen terristrialIrdisch orOder extraterristrialAusserirdisch octagramOktagramm eightAcht H H twentythreeDreiundzwanzig W W triaicosigramTriaikosigramm;
Kommunikation;petsHaustiere inIm generalAllgemeinen asWie dogsHunde orOder homeHaus catsKatzen petsHaustiere heptagramHeptagramm sevenSieben G G twentytwoZweiundzwanzig V V soSo thatDass orthogonalRechtwinklig isIst ninetyNeunzig degreeGrad toZo petsHaustieren isIst reciprocalReziproke isIst oneEins dotPunkt A A devidedGeteilt byDurch heptagramHeptagramm sevenSieben G G isIst corresponsEntspricht animalTier sheepSchaf heptagonHeptagon innocentUnschuldig wantMoechte toZu beWerden likedGemocht sheepsSchafe insteadAnstelle ofVon selflessSelbstloser leaderAnfuehrer isIst sheepsSchafe heptagonHeptagon reciprocalReziproke ofVom heptagramHeptagramm twentytwoZweiundzwanzig V V dyoicosigramDyoikosigramm;
Geisteswissenschaftlicher mentaler psychischer Gehirn Geist Kosmos Gefuehle Absichten statt Universum, Kosmos bedeutet nicht Universum, Spirit, Mind;exploitingAusbeutende parasitesParasiten sixSechs asWie TapewormBandwürmer RoundwormSpulwurm (Taenia)  roundwormsSpulwürmer (Ascaris) blood-flukeEgel (Schistosoma) Itch-miteKrätzemilbe scabies-miteKrätzmilbe (Sarcoptes) liceLäuse (Pediculus humanus) feasFlöhe Pulex irritans (humanMenschen feaFloh), Ctenocephalides felis (catKatzen fleafloh) hexagramHexagramm F F sixSechs stwentyoneEindundzwanzig U U henaicosigramHenaikosigramm;
Physik-Gesetze (Naturgesetze entspricht dem Universum) (Straßenrecht Naturrecht Psychopathenrecht Satanistenrecht Teufelrecht) und allgemeine verallgemeinerte Naturgesetze auch in Biologie, Äther ist fünfte Dimension und fünftes Element Quintessenz;oneEin cellularZeller lifeLeben lifeLebe creatureWesen pentagramPentagramm E E fifeFuenf twentyZwanzig T T icosigramIkosigramm;
Energie, Dimension der Zeit und Veränderung und des Wandels ist vierte Dimension, viertes Element Feuer;bacteriaBakterien squareQuadrat fourVier D D nineteenNeunzehn S S nonadecadegramNonadegramm;
Materie, dritte Raumdimension, drittes Element Erde;archeonArchaeon ArchaeaArchaeen (notNicht bacteriaBakterien) triangleDreieck threeDrei C C eighteenAchtzehn R R octadecadegramOktadegramm;
Mathematische (eigentlich universelle) Objekte, BewusstheitAwareness (statt BewusstseinConsciousness), zweite Raumdimension, zweites Element Luft;virussesViren (actuallyEigentlich lifeLeben isIst questionableHinterfragbar) seventeenSiebzehn Q Q heptadecadegramHeptadegramm;
EVA (statt Adam) Eingabe Verarbeitung Ausgabe, erste Raumdimension, erstes Element Wasser, Meta-Physik-Teilchen der erweiterten Meta-Physik P statt O ist die Prozessverarbeitung aus Eingabe dann Verarbeitung dann Ausgabe;prionsPrionen isIst notNicht reallyWirklich lifeLeben sixteenSechszehn P P hexadecadegramHexadegramm;
