Kompressionspunkte;0;_
Ausgangspunkt;1;A
Entweder wahr oder falsch oder Fest Hart;2;B
Verhakt;3;C
Verkantet oder nicht oder Fest Hart oder Zerberstet Zerfallen;4;D
Entweder wahr oder falsch oder Ganz;5;E
Eingebunden oder Verhakt und oder Fest Hart;6;F
Ausrichtung;7;G
Umgebung oder Umkantet mit Kanten ringsherum hart oder nicht oder Vier Stufen von Zerberstet oder Hart zwei Zwischenstufen sind Ankrekratzt und im Beginnenden Zerfall;8;H
Ineinander verhakt oder nicht;9;I
Bestimmt oder nicht oder Wahr und oder Falsch möglich, und eigentlich ist Prädikatenlogik bereits mehr und zwar Einheit und Richtigkeit fusioniert kombiniert;10;J
Zusammenhängend;11;K
Angeordnet oder chaotisch nicht oder Einbindungbefestigt oder nicht verhakt verkantet oder Hakenverkantet gegenüber Kantenverhakt;12;L
Begehbar Befahrbar;13;M
Ausgerichtet und oder in andere Richtung Weggerichtet;14;N
Vollverhakung Kompletteinhakung;15;O
Prozess also Anhaltspunkt Eingabe Verarbeitung Ausgabe also vier Schritte wirklich oder als drittes Tür oder auch genauso Fenster mit drüben und nüben oder hier und dort also eins oder zwei oder vier;16;P
Ein einziger Kompressionspunkt;17;Q
Verbunden oder Festverhaktung gegenüber lose Verhakt alternativ auch gegenüber fest nicht verhakt  oder die Eingebundenheit gegenüber Ausgeschlossen;18;R
Herausgewonnen etwas aus etwas gewinnen aber sehr selten ausbeuterisch;19;S
Festgelegt oder zwei Gegenüber Bestimmt Gegenüber Unbestimmt oder die vier entweder wahr und falsch oder beides wahr oder falsch oder nur wahr nur falsch vier Möglichkeiten;20;T
Justiert Navigationsfähig geeicht für die Navigation;21;U
Zusammenhang hergestellt oder nicht;22;V
Gelagert im Lager;23;W
;24;X
;25;Y
;26;Z
;27;AA
;28;AB
;29;AC
;30;AD
;31;AE
;32;AF
;33;AG
;34;AH
;35;AI
;36;AJ
;37;AK
;38;AL
;39;AM
;40;AN
;41;AO
Navigiert, bereits fertig navigiert oder alternativ eingebunden gerichtet gegenüber ungebunden lose gerichtet mit alternativ dazu eingebunden ungerichtet gegenteilig gerichtet und zum einen den dreien eine dritte Unterscheidung Geeicht Justiert Navigationsfähig gegenüber nicht;42;AP
