-;TitelTitles ofVon GovernorsRegierer rulerBeherrscher ofVon oneEinem planetPlanet orOder moonMond orOder habitatHabitat orOder spaceRaum stationStation correctorKorrigierer optimizorOptimierer
11;PlanetPlaneten differentiatorUnterscheidor
12;PlanetPlaneten clothStoff materialatorMaterialator PlanetPlaneten substancorSubstancor ofVon oneEinem moonMond orOder planetPlaneten orOder habitatHabit etcUsw.
13;PlanetPlaneten polarisatorPolarisator planetPlaneten unipolarisatorUnipolarisator planetPlaneten infrastratuctorisatorInfrastrukturisator
14;PlanetPlaneten SynchronizitatorSynchronisitator
15;PlanetPlaneten MaterialMaterial recursatorRekursator cosmicKosmisch orOder universalUniversell orOder energeticEnergetisch orOder structuralStrukturell patternMuster resursionRekursion planetPlanet
16;PlanetPlaneten transformerUeberfeuhror planetPaneten remodelorUmbildor planetPlaneten imigorBildnor planetPlaneten terraformorTerraformor planetPlaneten gaiaorGaiaor planetPlaneten desertorWuestoror
17;PlanetPlaneten randomizorZuffallor
18;PlanetPlaneten physicalPhysikalische mentallyGeistige forcesKraefte percievorWahrnehmor mainlyHauptsaechich notNicht planetPlanet butAber extraterristrialAusseridisch orOder outsideAusserhalb planetPlaneten
19;PlanetPlaneten optimizerOptimierer bettererVerbesserer planetPlaneten improverVerbesserer toZum optimumOptimalem stateZustand developmentEntwicklung etcUsw.
20;PlanetPlaneten resultorErgebnissor impactorAuswirkor planetPlaneten implicatorImplikator
