Intrinsische (nicht extrinsische) (intrinsisch = es direkt wollen und nicht indirekt) emotionale Intentionen bzw. Motive n für Sternpolygone, Paradigmen (u.a. 13, Paradigmen sind nicht nur Typ 13, weil vermenschlicht) (Ein beliebiges Motiv zu haben ist Typ 1) (Jedes einzelne Motiv ergibt sich auch daraus, aus welchen Paradigmen und Meta-Paradigmen der Mensch besteht, ist also immer eine Zusammensetzung) Absichten (13) als Form des Geistes (15);Die Zahl Stufe Hoehe fuer die Spalte davor;-;-;-;MotiveAbsicht;Die Zahl Stufe Hoehe fuer die Spalte davor;
(klar auf den Punkt gebracht) „eine verborgene Weltordnung erschaffen wollen“ (größtenteils sicher) (deepTiefe worldWelt orderOrdnung acutallyEigentlich interInter galacticGalaktisch galaxyGalaxie clustersCluster hereHier localLokale groupGruppe andUnd superSuper clusterCluster virgoVirgo);onehundretthirteenEinhundertdreizehn;-;-;-;-;-;
(klar auf den Punkt gebracht) „andere Menschen oder Lebewesen abhärten wollen und aufrichten wollen und deren Autonomie und Autarkie bestärken und sie fördern“ Menschen und Lebewesen dazu motivieren wollen, ihrem Eigeninteresse und Egoismus zu folgen Dieses Motivieren zum Egoismus hat den Nutzen, dass sich Lebewesen vielerlei Fähigkeiten beibringen werden und es führt dazu, dass Lebensformen nützlich für das Galaxiereich sein können, also sozusagen eher Nutzpflanzen sind, anstelle Unkraut. (größtenteils sicher);onehundretfourteenEinhundertvierzehn;fromVon onehundretfifeteenEinhundertfuenfzehn untilBis onehundretsixteenEinhundertsechszehn;-;-;-;-;
hideVerstecken letLassen findFinden informationInformation;onehundretfifeteenEinhundertfuenfzehn DK DK;-;-;-;-;-;
mingGeist brainGehirn cosmosKosmos wayArt diveTauchen thoughtDenk processProzess intoHinein throughDurch deepNach thinkingDenken processingVerarbeiten creationErschaffung deepNach thinkingDenk brainGehirn mindGeist cosmosKosmos;onehundretsixteenEinhundertsechszehn DL DL;-;-;-;-;-;
worldWelt creationErschaffung harmonyHarmonie peacefulFriedfertige worldWelt;onehundretseventeenEinhundertsiebzehn DM DM;-;-;-;-;-;
mysticismMystik;onehundreteighteenEinhundertachtzehn DN DN;-;-;-;ReligionionessesReligiösität (acknowledgedErwaehnt becauseWeil religionionessesReligiösität isIst fifetyeightAchtundfuenfzig BF BF);fifetyeightAchtundfuenfzig BF BF;
selfSelbst knowledgeErkenntnis inInside seinOnes eigenesOwn MenschHumanoid beingSein eingreifenAccess intoIn oneSich selfSelbst mindGeist brainGehirn psychePsyche soulSeele onesSich selfSelbst understandingVerstehen;onehundretnineteenEinhundertertneunzehn DO DO;-;-;-;-;-;
flashBlitze asWie palpatinePalpatine darkDunkle sideSeite ofDer forceMacht orOder asWie likeWie archonsArchonten orOder someEine otherAndere typeArt ofVon flashesBlitzen;onehundrettwentyEinhundertzwanzig DP DP;-;-;-;-;-;
tryVersuchen allAlles everythingJedes strangeFremde insideInnerhalb everyJedem otherAnderem humanMenschlichem beingSein likeWie funnyLustiger actorSchauspieler impersonatorDarsteller systemicSystemisch playfulSpielerisch trialVersuche alienFremde strangeFremd behaveVerhalten somehowIrgendwie;onehundrettwentyoneEinhunderteinundzwanzig DQ DQ;-;-;-;-;-;
?;OnehundretwentytwoEinhundertzweiundzwanzig DR DR;-;-;-;-;-;
?;OnehundrettwentythreeEinhundertdreiundzwanzig DS DS;-;-;-;-;-;
?;OnehundrettwentyfourEinhundertvierundzwanzig DT DT;-;-;-;-;-;
?;OnehundrettwentyfifeEinhundertfuenfundzwanzig DU DU;-;-;-;-;-;
?;OnehundrettwentysixEinhundertsechsundzwanzig DV DV;-;-;-;-;-;
NoKein successErfolg neededGebraucht insideInnerhalb onesDeines lifeLebens okayGeht withoutOhne sucessErfolg atUeber allHaupt thenDann everythingAlles continueWeitergehts;OnehundrettwentysevenEinhundertsiebenundzwanzig DW DW;-;-;-;-;-;
