AB AB continuumKontinuum (twentyeightAchtundzwanzig) forFuer anEine europeanEuropaeische unionUnion aEine oneEine cultureKultur spaceRaum headDach organizationOrganisation andUnd newNeue birthGeburt alikeWie smilarAehnlich starSternen trekReise federationFoederation nowNun confederationKonfoederation democrationDemokration inIn sightSicht possibleMoegliche doableMachbar yesJa weWir canKoennen shouldSollten doTun makeMachen;0
BirthGeburt newNeu insideInnerhalb worldWelt cameGekommen;1
HomeHeim basisBasis frameRahmen workArbeit hobbyHobby;2
AtZu homeHause livingLebens placePlatz locationOrt hookedVerhakt;3
BedBett coreKern intimacyIntimitaet privacyPrivats sphereSphaere forFuer yourDich selfSelbst onesSich ownSich;4
PeelSchale wallWand wallpaperTapete bordersGrenzen fenceZaun;5
HouseHaus buildingGebaeude floorsStockwerke importanceWichtigkeit seriousnessErnsthaftigkeit solidFest doorTuer;6
GardenGarten, garageGagare forWegen carAuto, shantySchuppen shantyBaracke, hollywoodHollywood swingSchaukel;7
NeighboursNachtbarn vicinityNachbarschaft nextNaechster fromVon youDir;8
TownStadt villageDorf cityStadt townDorf settlementSiedlung colonyKolonie;9
landLand regionRegion fieldFeld geographyGeographie geologyGeologie topographyTopographie topologyTopologie paperPapier planesFlaechen countryLand foundationGrundlage  educationBildung sharedGeteiltes knowledgeWissen informationInformation;10
HeavenHimmel hellHoelle starsSterne moonMond sunSonne cloudsWolken televisionFernsehn radioRadio internetInternet massMassen mediasMedien newspaperNachrichten listenZuhoeren musicMusik antennaAntennen satelliteSatelliten communicationKommunikation;
StreetsStrassen waysWege andUnd ResponsiblitiesVerantwortlichkeiten competencesZustaendigkeiten competencesKompetenzen zonesZonen withMit differentVerschiedenen rightsRechten justicesGerechtigkeiten dependendAbhaengig onVon peopleVolk andUnd organizsationsOrganisationen differentVerschiedene jobsArbeiten;
medicineMedizin DoctorArzt, firefightersFeuerwehr, teacherLehrer, drugMedikamenten storeLaden, streetStrassen cleanerKehrer, assistantAssistent, fostererPfleger nursesKrankenschwestern;
EngineerIngenieur, electricityElektrizitaets responsibleVerantwortlichen, energyEnergie cableKabel competencesZustaendigkeiten, repairerReparierer, constructorKonstruierer builderErbauer;
CultureKultur asAls MentalGeistiger brainGehirn cosmosKosmos spiritGeist defenseVerteidigung cultureKultur;
WorkingArbeits placePlatz employeeArbeitnehmer employerArbeitgeber creationErschaffung buildBauen everyday-lifeAlltag daily-routineAlltag;
ConflictsKonflikte andUnd conflictsKonflikte judgementUrteil difficultiesSchwierigkeiten struggleKampfprobleme problemsProbleme bullyingMobbing hardshipsHaerten;
OutsidersAuessere contactsKontakte knowKennen peopleVolk strangersFremde aliensFremde telephoneTelefon;
LogisticsLogistik asAls likeWie waysWege streetsStrassen LettersBriefe messagesNachrichten transmissionsUebermittlungen packagesPakete andUnd internetInternet asWie watherWasser andUnd electricityElektrizitaets netNetz;
SocialSoziales classSchichten systemSystem andUnd productsProdukte classificationKlassifikation andUnd spacesRaeme classificationKlassifikation;
GouverneurBuergermeister, jobArbeits masterMeister, hobbyHobby masterMeister, fightKampf masterMeister, artKunst masterMeister, passionLeidenschafts masterMeister;
SituationsSituationen momentsMomente trialsVersuche experimentsExperimente tinkerTuefteln;
WhisperFluestern conspiraciesVerschwoerungen hiddenVersteckte communicationKommunikation behindHinter backRuecken othersAnderer poemGedichts encordingKodierung;
SocietyGesellschaft, attitudeGesinnung, armsArme ofDer relationsBeziehungen, groupsGruppen accessZugriff reachReich lenghtWeite;
PeopleVolk usualGewohnt commonGemeinsam ordinaryGewoehnlich citizenBuerger staffPersonal informationInformation;
WorkArbeiten togetherZusammen projectProjekt buildBauen cooperatingKooperieren;
HolidayUrlaub spareFrei timeZeit relaxAusruhen enjoyErfreuen shareTeilen peaceFrieden silenceRuhe calmRuhig funSpass playSpielen;
ExperienceErfahren sightseeingSehenswuerdigkeiten cultureKultur resultsErgebnisse artKunst opusWerk literatureLiteratur faritalesMaerchen rumorsGeruechte;
AbyssAbrund darkDunkle soulSeelen partsAnteile, cultureKultur deepNach thinkingDenken opusWerk authorAutor readingLesen booksBuecher novelsRomane educationBildung historyGeschichte;
EnlightmentErleuchtung lightLicht brightHell energyEnergie lifeLebens energyEnergie typesArten ofVon lifeLebens knowledgeWissen;
