GalaxyGalaxie responsibleVerantwortliche tristaidegramTristaidegramm thirteenDreizehn M M;;
identityIdentitaet ofVon theDer galaxyGalaxie;1;A
GroupGruppe ofVon theDer galaxyGalaxie responsibleVerantwortlicher andUnd thingsDinge andUnd issuesAngelegenheiten ofVon theDer galaxyGalaxie;2;B
FederatonFoederation andUnd nutritionErnaehrung foodNahrung andUnd lifeLeben andUnd groupsGruppen ofVon groupsGruppen responsibleVerantwortlicher ofVon theDer galaxyGalaxie;3;C
DominatorDominierer dominusDominus obedientGehorsamkeits makerMacher ofVon theDer galaxyGalaxie;4;D
centralizatorZentralisator ofVon theDer galaxyGalaxie;5;E
ExploiterAusbeuter takerNehmer ofVon theDer galaxyGalaxie;6;F
LeaderAnfuehrer ofVon theDer galaxyGalaxie asWie masterMeister chancelorKanzler emperorImperator palpatinePalpatine evenObwohl sithSith lordLord stuckSteckengeblieben atBei sevenSieben notNicht thirteenDreizehn ofVon theDer galaxyGalaxie;7;G
GeneralsGeneraele admiralsAdmirale ofVon theDer galaxyGalaxie;8;H
unifierVereiniger ofVon theDer galaxyGalaxie;9;I
OptimizerOptimierer andUnd correctorKorrigierer ofVon theDer galaxyGalaxie;10;J
MassMassen mediaMedien andUnd newspaperNachrichten responsibleVerantwortliche ofVon theDer galaxyGalaxie;11;K
OrdererOrdnerer orOder rikerRiker orOder subduerUnterdruecker suppressorUnterdruecker (masterMeister chancelorKanzler emperorImperator palpatinePalpatine triedVersuchte soDas) ofVon theDer galaxyGalaxie;12;L
NoblifierVeredler infrastructureInfrastruktur responsibleVerantwortlicher ofVon theDer galaxyGalaxie;13;M
