0;"T Kontinuum n ganze natuerliche Zahlen";"T Kontinuum 1/n Reziproke von ganzen natuerlichen Zahlen";"indirekte Fuehrung, laengere Kette Marionette Sockenpuppen Kette und sieben mal diese ganze Zahl hier geteilt durch diese ganze Zahl ist immer sieben.";
1;"Form Struktur Muster";"";"Diplomat zwischen Anfuehrern Regierungen Botschaft zwischen zwei Politikern";
2;"Zeichen Symbol informell, Formel-Schritt, Formulierungsstufe";"formale Methode";"Minister";
3;"Form Formel und formal statt informell";"formale Bedingung";"Repraesentativer Politiker Praesident Kanzler Ptaesident";
4;"Bestandteile Formel Formulierung";"";"Staatsdiener Offizier Beamter";
5;"";"Inhaltsangabe";"Moderator Mediater";
6;"Aussageform";"";"Erklaerer Beschreiber";
7;"";"";"zu Experten zu Professionellem verweisender sich zu beziehender";
8;"Aussage";"";"Staatstreuer oder Bibliothekar oder Regierungstreuer oder Nationalist";
9;"";"";"Rahmenvorgeber oder Kaeseglockenbestimmer";
10;"Formuliertes zB Mathematik Formeln, formuliert ausgesagtes";"Verifikation Falsifikation";"Definierer von Definitionsobjekten der Ontologie semantisch die Bedeutung definieren";
11;"";"";"";
12;"Form Schritte oder von Formuliertem die Schritte";"";"";
13;"";"";"";
14;"";"";"";
15;"";"";"";
16;"Umstellen z.B. Formeln";"";"";
17;"Verschluesseln kryptographisch";"";"";
18;"formale Ontologie moeglich gemacht, Linguistik-Formulierung statt Sprache";"";"";
19;"";"";"";
20;"Kodierung";"Kodiert Meta-Rational";"";
