dimensionsDimensionen multiverseMultiversum rowsZeilen henahriacontagramHenatriakontagramm thirtyoneEinunddreißg AE AE columnsSpalten threeDrei C C triangleDreieck actuallyEigentlich lastlyLetztlich oneEine A A dotPunkt calculatedBerechnet withoutOhne headingÜberschrift rowsSpalten thirtytwoZweiunddreißig AF AF dyotriacontagramDyotriakontagram;;
P P continuumKontinuum (sixteenSechszehn) dimensionsDimensionen, dimensionalDimensionales multiverseMultiversum, „enhancedErweiterte metaMeta phyicsPhysik“ sixteenSechzehn hexadecadegramHexadekadegramm P P afterNach metaMeta physicsPhysik fifeteenFuenfzehn O O pentadecadegramPentadekadegramm;;
inputEingabe processingVerarbeitung outputAusgabe, firstErste spaceRaum roomRaum dimensionDimension, firstErstes elementElement isIst waterWasser, metaMeta physicsPhysik particleTeilchen ofDer enhancedErweiterten metaMeta physicsPhysik P P insteadStatt ofVon O O isIst theDie processingProzessverarbeitung fromAus inputEingabe thenDann processingVerarbeitung thenDann outputAusgabe;1;A
PlaneFlaeche twoZwei dimensionalDimensional, mathematicalMathematische objectsObjekte (areSind actuallyEigentlich universalUniverselle objectsObjekte basedBasiert onAuf loopsSchleifen repetitionsWiederholungen realEchte mathematicalMathematischen objectsObjekte basedBasiert ontoAuf oneEin logicsLogik predicatePraedikat), awarenessBewusstheit (notNicht yetBereits consciousnessBewusstsein onlyNur awarenessBewusstheit), secondZweite spaceRaum roomRaum dimensionDimension, secondZweites elementElement isIst airLuft;2;B
matterMaterie, thirdDritte spaceRaum roomRaum dimensionDimension, thirdDrittes elementElement earthErde groundErde foundationGrundlage;3;C
energyEnergie, dimensionDimension ofDer timeZeit changeAenderung isIst fourthVierte dimensionDimension, fourthViertes elementElement isIst fireFeuer energyEnergie, dimensionDimension ofDer timeZeit changeAenderung isIst fourthVierte dimensionDimension, fourthViertes elementElement isIst fireFeuer, mathematicalMathematische universalUniverselle propertiesEigenschaften;4;D
LikeWie technicalTechnische (timesMal twoZwei B theoreticalTheoretisch timeMal twoZwei B againWieder practicalPraktisch asAls butAber twentyZwanzig tenZehn J J timeMal threeDrei C multiplicatedMultipliziert appliedAngewendet principlePrinzip notNicht justBloß onlyNur fifeFünf E E tenZehn J J twentyZwanzig T T thirtyDreißig AD AD) mathematicsMathematik isIst engineeringIngenierwesen actuallyEigentlich UniverseUniversum areSind basicallyGrundsaetzlich physicsPhysik lawsGesetze (streetStrassen) justiceRecht andUnd generallAllgemeine generalizableVerallgemeinerte natureNatur lawsGesetze alsoAuch insideInnerhalb biologyBiologie, aetherÄther isIst fifethFuenfte dimensionDimension (ofDes multiverseMultiversums andUnd fifethFuenftes elementElement isISt quintQuint essenceEssenz;5;E
HumanitiesGeisteswissenschaftlicher brainGehirn nerviousNerven systemSystem mindGeist psychologicalPsychologischer mentalGeistiger spiritualGeistiger cosmosKosmos mindGeist notNicht universeUniversum butAber cosmosKosmos likeWie emotionsEmotionen feelingsGefuehle;6;F
communicationKommunikation;7;G
MetaMeta-physicsPhysik (asWie morpheusMorpheus allahAllah africaAfrika andUnd arabiaArabien britishBrittischer isacIsak newtonNeuetonne) andUnd alsoAuch likeWie retaReta (religionsReligionen tableTabelle) commandKommando lineZeilen applicationProgramm pypyPypy ThreeDrei andUnd religionsReligionen tableTabelle htmlHtml typescriptTypescript andUnd ReligionReligion tenZehn textsTexte ofVon (sithSith andUnd eathEath) (LordLord) traceTrace jupiterJupiter threeDrei dotPunkt zeroNull (germaniumGermanium lifeLebens formsFormen diplomaticDiplomatischer ambassadorBotschafter protoProto moleculeMolekuel thirtytwoZweiunddreissig protonsProtonen coreKern atomicAtom elementElement);8;H
TrancezendenceTranszendenz (notNicht ImanuelImanuel KantsKants trancedendentalTranszendental andUnd alsoAuch notNicht artificialKuenstliche computerRechner intelligenceIntelligenz) brainGehin mindGeist internetInternet asWie alsoAuch telepathyTelepathie ofDer betaBeta zoidsZoiden etcUsw someEinige psiPsi forcesKraefte (psilonsPsilons antikerAntiker asgradAsgard greysGraue extraterristrialsAusserirdische);9;I
LikeWie theoreticalTheoretische mathematicsMathematik isIst actuallyEigentlich StructureStruktur scienceWissenschaft asWie mathematicsMathematik (planetsPlaneten lawGesetz) (tenZehn J J decagramDekagramm againWieder), cyberneticsKybernetik (twelveZwoelf dodecadegramDodegramm L L borgBorg collectiveKollektiv cyborgsCyborgs), systemSystem theoryTheorie (K K hendegramHendegramm elvenElf robotsRoboter androidsAndroiden), calculatingRechnen (eightAcht H octagramOktagramm AbacusAbakus calculatorRechner ), enumeratingAufzaehlen iteratingIterieren incrementingInkrementieren (sixSechs hexagramHexagramm F F );10;J
DeltaDelta-VerschraenkungEntanglement DeltaDelta-behaiourVerhalten  Verhaltensverschraenkung, whereWo  quantumQuanten-EntagelmentVerschränkung onlyNur aEin specialSpezial caseFall isIst, whenDer toZur elevenElf K K addedNoch seventeenSiebzehn Q Q addedDazu takenNimmt;11;K
BeamStrahl radiationStrahlung, severalMehrere mentalGeistige brainGehirn cosmossesKosmosse, temperatureTemperatur degreeGrad hotHeiss coldKalt, temperamentTemperament temperNaturell;12;L
signalsSignale;13;M
TalkSprechen speakReden;14;N
ChemistryChemie (biologicalBiologisch andUnd anorganicAnorganisch andUnd maybeVielleicht moreMehr) (universeUniversum andUnd cosmosKosmos lawGesetz justiceGerechtigkeit);15;O
MetaMeta chemistryChemie aliasAlias alchemyAlchemie, exampleBeispiel numberZahl valueWert combinedKombiniert withMit angleWinkelDirectionRichtung resultsErgibt intoZu vectorVektor, areSind combinationsKombinationen (fourteenVierzehn) fusionsFusionen, butAber exampleBeispiel alsoAuch eighteenAchtzehn n n toZu m m relationenRelationen ofVon wholeGanzen naturalNatuerlichen numbersZahlen valuesWerten, aEine columnSpalte explainsErklärt theDen contextZusammenhang betweenZwischen toZwei furhterWeiteren columnsSpalten isIst twoZwei toZu oneEins relationBeziehung;16;P
LessWeniger dimensionsDimensionen compressionKompression (oneEin bitBit anyJegliches everythingAlles ontoAuf oneEin bitBit reduceableReduzierbar) densityDichte closeDicht compressionKompression tightEng maybeVielleicht thenDann lessWeniger dimensionsDimensionen  forFür multiverseMultiversum;17;Q
LanguageSprache ofDer dimensionsDimensionen multiverseMultiversum likeWie asAls alsoAuch universeUniversum lawsGesetze asWie andUnd alsoAuch cosmosKosmos digestionVerdauungs systemSystem mindGeist heartHerz brainGehirn cosmosKosmos andUnd allAlle theDie otherAnderen furtherWeiteren dimensionsDimensionen multiverseMultiversum notNicht yetBereits linguisticsLinguistik butAber languageSprache andUnd asWie dialectDialekt specializedSpezialisierte languageSprache isIst dialectDialekt (whenWobei realReales legitEchts R R isIst linguisticsLinguistik notNicht languageSprache) ofVom universeUniversum andUnd alsoAuch fromVom cosmosKosmos notNicht universeUniversum bothBeides likeWie threeDrei C C triangleDreieck isIst noNein asAls signalSignal redRot andUnd signalSignal greenGruen meansBedeutet yesJa andUnd isIst additiveAddtiv mixedVermischte addedAddiert oneEins A A dotPunkt withMit B B twoZwei lineLinie bothBeide combinatedKombiert notNicht substractedSubtrahiert butAber addedAddiert meansBedeutet yesJa belongsGehoert toZu eigthteenAchtzehn languageSprache ofVom universeUniversum andUnd cosmosKosmos;18;R
messageNachricht  likeWie LetterBrief likeWie emailEmail likeWie transmissionÜbermittlung maybeVielleicht thenDann moreMehr dimensionsDimensionen forFür theDas multiverseMultiversum sixteenSechszehn P P hexadecadegramHexadegramm hexadegramHexadekadegramm;19;S
likeWie practicalPraktische mathematicsMathematik isIst engineeringIngenierwesen actuallyEigentlich PatternMuster scienceWissenschaft asWie mainlyHauptsächlich engineeringIngenieurs scienceWissenschaft  asWie computerComputer scienceWissenschaft resarchForschung aliasAlias namedGenannt germanDeutsch informaticsInformatik designationBezeichnung;20;T
textingTexten writingSchreiben scriptureSchrift;21;U
entanglementVerschraenkungs patternMuster deltaDelta patternMuster behaviourVerhaltens patternMuster intersectingDurchschneidende entanglementVerschränkung. interdependenceAbhängigkeits patternMuster structuresStrukturen couplingsKopplungs structureStruktur patternMuster possiblyMöglicherweise forFür worldWelt OrdersOrdnungen erasÄras orOder notNicht theseDiese simulationSimulierungs dimensionDimension emulationEmulation virtualizationVirtualisierung;22;V
stickVer TogetherKleben getVer stuckHaken glueLeim boundedGebunden tightEng forFür notNicht justBloß onlyNur dataDaten storageSpeicherung;23;W
timeZeit spiritGeist andUnd circulatingDrehende electricityElektrizitaet streamsStroeme roveHerum aroundTreiben flashesBlitze agesZeitalter timesZeiten chainsKetten brainGehirn mindGeist changesÄnderungen thoughtsGedanken renewalsErneuerungen asAls notNicht justBloss onlyNur networkNetzwerk ofDer dimensionsDimensionen;24;X
processingProzess streamStrom threadsFäden tubesRöhren tunnelsTunnel threadsFäden ropesSeile managementHandhabung maintainAufrechterhalten flowFluss behindDahinter asAls continuumKontinuum isIst bootStart processProzess asWie likeWie greatGroßer resetNeustart worldWelt economyWirtschaft upperOber classSchicht societyGesellschafts classSchicht planetPlanet changeÄndert ourUnsere pastVergangenheit forFür womenFrauen pleasureVergnügen lustLust happyFröhliches girlsMädchen justBloß toZu wannaMöchten haveHaben funSpaß becauseWeil girlsMädchen becauseWeil femaleWeiblich thereforDaher upperOberClassSchicht moneyGeldCurrencyWährung richReich economyWirtschaft worthWert selfSelbst esteemWertgefühl prideStolz selfSelbst worthyWertig highHoch girlMädchen womenFrauen importantWichtig seriousErnsthaft hardHart hardshipsHärten mustMüssten beSein forWegen femaleWeiblichem sexGeschlecht genderGeschlecht womenFrauen worldWelt orderOrdnung oldAlte humansMenschen;25;Y
signZeichen charZeichen letterBuchstabe symbolsSymbole numbersZahlen whatsoeverIrgendetwas andUnd phasePhasen shiftsVerschiebung etcUsw.;26;Z
oceanOzean ofDer languageSprach cosmossesKosmosse distributingVerteilen aroundHerum interZwischen trancedanceTranszendenz andUnd moreMehr (I Ich meMich myselfMichselbst wasWar beenGewesen transcendenceTranszendenz ninethNeunte nonagramNonagramm stillImmernoch yetBereits areBin staysBleibt becomesWird improvedVerbessert optimizedOptimiert moreMehr.);27;AA
shoutRufen outHeraus laudLaut crySchreien meansBedeutet topologicalTopologisch andUnd topographicalTopographisch understoodVerstandene dimensionsDimensionen;28;AB
subUnter spaceRaum possibleMöglicherweise maybeVielleicht likeWie needelsNadeln somehowIrgendwie;29;AC
LikeWie appliedAngewandte mathematicsMathematik isIst actuallyEigentlich researchForschung sciencesWissenschaften intersectingÜberschneidende interactingInteragierende causalitiesKausalitäten intersectingDurchkreuzend isIst energyEnergie scienceWissenschaft likeWie physicalKörperliche physicsPhysik mentalGeistige spiritualSpirtuelle cosmicKosmische energyEnergie anyIrgendwelche whatsoverWelche energyEnergie asAls allAlle everyJede togherZusammen appliedAngewandte mathematicsMathematik structureStruktur sciencesWissenschaften researchForschung asWie likeWie organizationsOrganisationen ofDer economyWirtschafts mathematicsMathematik orOder chemicalChemisch appliedAngewandte mathematicsMathematik;30;AD
SuperÜber spaceRaum roomRaum overDrüber spaceRaum roomRaum;31;AE
