RuleHerrschen governRegieren;;
RuleHerrschen governRegieren yourDich selfSelbst awarenessBewusstheit notNicht consciousnessBewusstsein onlyNur awarenessBewusstheit yourDich selfSelbst;1;A
RuleHerrschen governRegieren yourDeine groupGruppe;2;B
RuleHerrschen governRegieren federationFoederation groupsGruppen ofVon groupsGruppen;3;C
CommandBefehls givingGebend dominatingDominieren;4;D
CentricZentral othersAndere aroundRundherum stayBleib healthyGesund notNicht poorArm;5;E
ExploitAusbeuten takeNehmen recieveErhalten;6;F
CompassKompass angleWinkelDirectionRichtung leadFuehren pathWeg RuleHerrschen governRegieren countriesLaender governmentsRegierungen andUnd oceanOzean shipsSchiffe spaceRaum shipsSchiffe, likeWie federationFoederation groupsGruppen ofVon groupsGruppen tooAuch;7;G
ControleKontrolle enforceErzwingen marinesMarine soldiersSoldaten militaryMilitaer forcesKraefte byDurch enforcementErwingen controlKontrolle;8;H
SexualSexuelle determinationBestimmung evenSogar rapeVergewaltigungs managementHandhabenung layerEbene unitedVereinte nationsNationen;9;I
RuleBeherrschen governRegieren planetPlanet firstErst T mathematicallyMathematisch formilizedFormuliertes thenDann S galeryGalerie picturesBilder thenDann R meaningBedeutung Q constrainstsBeschraenkungen thenDann P structureStruktur scienceWissenschaft thenDann matematicsMathematik thenDann logicsLogik thenDann mathematicalMathematische predicatesPraedikaten logicsLogik thenDann arbitraryBeliebige logicsLogik andUnd mathematicsMathematik arbitraryBeliebig governRegiere ruleBehrrsche moonMond spaceRaum stationStation habitatHabitat oceanOzean shipSchiff spaceRaum shipSchiff trainBahn busBus carAuto vehicleFahrzeug anythingAlles circulatingUmdrehende aroundUm starsSterne asWie sunSonne solSonne;10;J
RuleBeherrschen governRegieren massMassen mediaMedien newspaperNachrichten multimediaMultimedia vidoeVideo audioAudio radioRadio cassetteKassette compactKompakte discScheibe televisionFernsehn chanelsKanaele objectsObjekte circulatingUmdrehen asWie moonMond spaceRaum stationStation satellitesSatelliten spaceRaum shipsSchife insideInnerhalb orbitOrbit;11;K
RuleBeherrschen governRegieren worldWelt orderOrdnung starSternen systemSystem andUnd hierarchyHierarchie keepAufrechterhalten maintainGestalten manageHandhaben administerVerwalten hierarchyHierachie;12;L
FightBekaempfen harmfulSchaedigend withMit evilBoese againstGegen badSchlecht andUnd waysWege streetsStrassen infrastuctureInfrastruktur galaxyGalaxie;13;M
HumiliateDemuetige withMit harmSchaden asAls problemProblem solvingLoesen damageSchaden badSchlecht notNicht evilBoese butAber humbleDemuetig likeWie engineerIngenieur governRegiere ruleBeherrsche galaxyGalaxie clusterCluster asWie localLokale groupGruppe superSuper clusterCluster virgoVirgo;14;N
SpeciesSpezies vsGegen SpeciesSpezies;15;O
WorkersArbeiter unionsGewerkschaften notNicht onlyNur employeesArbeitnehmer;16;P
RuleBeherrschen governRegieren speciesSpezies;17;Q
SpeciesSpezies diplomacyDiplomatie ambassyBotschaft oneEine yoursDeine speciesSpezies;18;R
RuleHerrschen governRegieren speciesSpezies;19;S
SpeciesSpezies MaintainAufrechterhalten manageHandhaben keepAufrechterhalten administerVerwalten speciesSpezies oneEine yoursDeine speciesSpezies;20;T
RuleBeherrschen governRegieren speciesSpezies;21;U
