Klingt schrecklich, aber auch etwas neutral, weil es das gibt und so etwas gehört manchmal dazu und grundsätzlich insgesamt nicht völlig im absolut totalem bösem Schlechtem zu sehen;0;
MadonnaMadonna;1;A
SadistSadist, hardshipsHaerten, difficultiesSchwierigkeiten, difficultioupathSchwierigkeitopath, hardopathHaertopath;2;B
ThanatopathThanatopath, deathopathTodespath;3;C
Dominopath trainerTrainer drillerDriller mentorMentor fasterSchneller;4;D
PsychopathPsychopath, satanistSatanist, devilTeufel, selfSelbst centredZentrierter, painopathSchmerzopath;5;E
SociopathSoziopath, prideStolz proudStolz, narcisisstNarzisst, egomaniacEgomane, egoistEgoist, importanceWichtigkeit seriousErnsthaft, sufferingopathLeidenspath, exploitopathAusbeuterungspath, amountopathBetraegepath;6;F
WolfWolf, JediJedi;7;G
destroyerZerstörer atAn theDer frontFront battlefieldSchlachtfeld, destroyopathZerstoerungspath;8;H
rapistVergewaltiger  (sexualSexueller perpetratorTäter);9;I
MachiavellistMachiavellist, psycheespathPsychenpath, centauriZentaurus;10;J
TricksterHereinleger;11;K
SanktupathSanktupath, ArchipathArchipath, TerrorpathTerrorpath, arroganceArroganz societiespathGesellschaftenpath;12;L
NemopathNemopath, repilopathReptilopath, spectropathSpektropath, sithSith lordLord;13;M
PsilopathPsilopath, foxopathFuchsopath;14;N
SpeciespathSpezienpath, humanopathMenschopath, peoplopathVolkospath, citizenopathBuergerpath;15;O
SuffiantopathAusreichendopath, okayopathOkayopath, staffopathPersonalopath;16;P
QuantopathQuantopath, cleveropathSchlauopath, intellipathIntelliopath;17;Q
ForcopathKraeftopath, diplopathDiplopath, ambassopathBotschaftopath, gravitopathGravitatiopath;18;R
EathEath lordLord, expressopathAusdrueckopath, extractopathExtrahieriopath;19;S
EarthEarth lordLord, formulopathFormelopath, formulizatopathFormulieropath;20;T
