Gesellschaftsklassen 20 gegenüber Hierarchie 12;-1;0;_
Keine Klassenunterscheidung nur eine Klasse also eigentlich nur das Individuum die Einzelperson also z.B. Einzelgänger oder Individualisten etc.;1;1;A
Keine Klassenunterscheidung nur eine Klasse;2;2;B
Keine Klassenunterscheidung nur eine Klasse;3;3;C
Sklaven und Sklavenhalter sind eigenständige selbst verwaltende selbstständige autarke Dominierer und Dominierte Unterwürfige zwei Klassen;4;4;D
Keine Klassenunterscheidung nur eine Klasse;5;5;E
Arbeitnehmer und Arbeitgeber also Ausbeuter und Ausgebeutete also Nehmer und von sich was Wegnehmed-Erlebende;6;6;F
Keine Klassenunterscheidung nur eine Klasse;7;7;G
Vier Stück Freie unfreie halb freie halb unfreie Freiheitsgrade Vier Klassen ist Sklaverei 2.0;8;8;H
Masturbierer Onanierer gefickte gegenüber Ficker Städte Klassen Metropolen Stadtplaneten alles nur riesige Metropolenstadt der ganze Planet keine Gaia;9;9;I
Herzenskalte spieltheoretische geostrategische Struktur-Logiker gegenüber tyrannischen Bullys Mobbern hinterhältigen niedrig gesinnten Sabotierern;10;10;J
Keine Klassenunterscheidung nur eine Klasse;11;11;K
Zunächst 6 Gesellschaftsklassen der Unterdrückung also Dominieren 3.0 Sklaverei 3.0 1-6 1 Unterdrückte 2 halb Unterdrückte 3 halb Unterdrückende 4 halb Unterdrückte und gleichzeitig halb Unterdrückende 5 verhältnismäßige Vermittler Mediatoren 6 Unterdrücker (12) und Bürokrat Manager Chef Typ welcher aus diesen 12 Gesellschaftsklassen bis hier her eine Hierarchie konstruiert 47 und außerdem designt 32 aufrechterhält handhabt verwaltet  ist Sklaverei 3.0;12;12;L
Keine Klassenunterscheidung nur eine Klasse;13;13;M
Problembeseitiger und Problem-Menschen also Gedemütigte und Demütiger also Orchestrierer und Orchestrierte also Komponierer und Hineinkomponierte Lebewesen also Dirigent und Dirigierte also  Choreographie ausübende und Choreographie betreffende;14;14;N
Verachtende und Geächtete also erfolgreich Erhabene und schwache selbstvergessene sich selbst aufgebende Verlierer;15;15;O
Acht Gesellschaftsklassen 1 Arbeiter 2 Überprüfer der Arbeit 3 Gewerkschaftler 4 Vermittler wegen Arbeitstätigkeiten 5 Kopf Hirn für Arbeitsangelegenheiten 6 Arbeitsloser oder Arbeitssuchender 7 Beschaffungszuständiger Lieferketten 8 Zuständiger für Proviant Nahrung Getränke Elektrizität Gas Wasser wegen für diese Arbeitstätigkeiten;16;16;P
Keine Klassenunterscheidung nur eine Klasse;17;17;Q
4 Gesellschaftsklassen 1 vorausschauender Diplomat 2 Diplomatieunfähige Stumme sich blind machende 3 Betroffene meinende 4 Betreffende gemeinte;18;18;R
Keine Klassenunterscheidung nur eine Klasse;19;19;S
4 Gesellschaftsklassen 1 familiärer Klassenverwalter 2 Klassenmensch in seiner Klasse 3 Klassenorientierter in irgendeiner Mode wie beispielsweise Kleidung und 4 Antimode sich fern von Normierung entfernen;20;20;T
Klassenunterscheidung reicht nicht mehr, aber theoretisch zwei Klassen Leidenschaftsausübende und unmöglich die Leidenschaft ausüben zu können;;21;U
