Q continuumKontinuum;_0;;
complicacyKompliziertheitIntelligenceIntelligenzClevernessSchläueDifficultySchwierigkeit;A1;;
complexKomplex;B2;;
abstractAbstrakt;C3;;
cristallineKristallin;D4;;
codedKodiert;E5;A1/E5_decodedDekodiert;
declarativeDeklarativ;F6;;
deligatedDelegiert;G7;;
stoneSteinIonicIonisch=libraryBibliothek_Ion;H8;;
FrameRahmen=IQ=fuckFickTokenEtappeClevernessSchläue;I9;;
LimitationLimitierungBordersGrenzen;J10;J10m11K_cognitionKognition;
insightEinblickConfusionDurcheinanderMessWirrwar;K11;J10m11K_cognitionKognition;
;
toolsetWerkzeugkoffer;L12;;
outlookAusblickConfusionDurcheinanderWirrwarMessDurcheinander;M13;;
contentInhalt;N14;;
summeryZusammenfassung;O15;;
chapterAbschnittSubjectGegenstand;P16;;
compressionKompression;Q17;;
treatmentVerfahren;R18;;
HorizonHorizont;S19;;
scopeUmfang;T20;;
contextKontextInterZusammenConnectionHang;U21;;
