X und I Kontinuum (Neun und Vierundzwanzig);X Kontinuum (Vierundzwanzig)
Eine Person;Individuum
Buegelhalter;ein Paar oder die Arbeiterschicht
Marionetten Sockenpuppen;Menschen benutzen Menschen
Sklavenhalter und Sklaven;zwei Gesellschafts Klassen
Zentralperson;Matroschkas
Geld Reich macher werder Oberschicht Arbeitgeber oder Arbeitnehmer;Stapel Stack
Parlament;Kreis links rechts Aufbau
Armee Militaer;Militaer kubisch Formationen roemisch Asterix Comics Filme
Organisation;allgemeines Netzwerk durchschnittlich normal Median ordinaer ueblich gewohnt
Assoziation;Mesh Netzwerk wie router wifi WLAN viele quasi Pentagramm Stern-Topologien
Web Seite;Web Spinn Netz aus nur einem Faden Spinnwebe und Busch Funk Effekt, Ironie Luege etc.
hierarchische Organisation;"Knochen Staebe Geruest Gerippe, Hierarchie-Effekt"
Aerzte Organisationsform Krankenschwestern Pfleger;"Fleisch flesh meat, unipolar - der zweite polare Pol ist die Umwelt der Rest alles andere wie beim Blitz"
Ingenieure Organisationsform;"Sehnen, die Knochen verbinden, AST abstract syntax tree, welcher Formeln ausrechnet"
Schwarzafrikaner Organisationsform;mathematische Objekte universell anstelle nur mathematisch
