"W Kontinuum (Dreiundzwanzig)";"AT Kontinuum (Sechsundvierzig)";0;
"Speicher Kapazitaet Gelerntes gewusstes HDD Floppy Disk SSD RAM Cache Register Gehirngemerktes";"Weltwissen";1;
"Unterscheidung Daten Dateien Ordner Folder Verzeichnisse";"Unterscheidung Weltwissen";2;
"smbolischer oder Harter Link Verknuepfung Jounction";"Wo Weltwissen verhakt existent";3;
"Fluechtigkeitsgrad der Information RAM RAM Cache Chash HDD Floppy DVD CD BD Register Papier Buch Steintafel";"Epoche Aera Zeitalter Weltordnung Zeit";4;
"Datei, ein Speicherbereich bzw. Daten";"ein zentrales Weltwissen";5;
"Menge Daten Speicher Bits Bytes Speicherplatz";"Menge Weltwissen Betrag";6;
"Matrix Datenspeicherung";"Matrix Selbstfuehrung Autodidaktisch zu abstrahiertem Welt-Wissen";7;
"die persoenliche eigene Bibliothek oder Datenbank oder Buerokram, Tensor";"wo Weltwissen koordinaten, die Bibliothek, Tensor";8;
"Datenformat txt rtf html pdf mp3 bmp jpg normale Daten ueblich gewoehnliche Speicherung Information Wissen, Framework";"Allgemeinwissen Ideologie Weltanschauung, Wissendrahmen";9;
"Verifikation von Wissen und Code und Falsifikation, oder einfach nur Daten";"Allgemeinwissen Wirklichkeit Wahrheit";10;
"Massenmedien Unterhaltungsbranche Nachrichten Multimedia";"Wege Pfade zu Weltwissen";11;
"Ordner, Verzweichnis, Redundanz und Wichtigkeit";"Redundanz und Wichtigkeit, wer welches Weltwissen erhalten darf durch Hierarchie bestimmt";12;
"Datei loeschen verschieben";"";13;
"Dateisystem Operationen";"Weltwissen verschraenken";14;
"zusammengehoerige Daten z.B. Projekt, Haeufigkeit Datenzugriff, Falsifikation Verifikation alles mit allem";"Zusammenhang des Weltwissens mit dem Weltwissen, Allzusammenhang";15;
"Datenumwandlung z.B. t2s Text to Speech";"Bilder Diagramme Abbildungen Tensoren";16;
"Datenkompression";"Quintessenz des Weltwissens - das Wesentliche Eigentliche";17;
"Symbolischer Harter Link Jounktions hardlink symlink";"Weltwissen im Verhaeltnis, was kann zu was gemergt werden wie ein SQL Join zwei relationale Tabellen zu einer";18;
"Ein Datesystem Pfad Path zu Datei File oder Folder Order Verzeichnis Path Pfad Angabe";"Navigation durch das Weltwissen.";19;
"CRC MD5 SHA Checksumme";"Planet Einteilung durch Manifolds Varietes Datenstrukturen Haskell Monade Monoid Algebra";20;
"";"Weltwissen Betrachtungspunkt Meister Master Bechelor Diplom Magister Meisterkoch Experte Professioneller vom Fach";21;
"";"Wissen Universitaet Forschung Wissenschaft Akademie Professoten Weltwissen";22;
"Eine Datenhalde wie Festplatte, der Cursor in der Word Datei Texte";"Multicursor wie bei vi vim nvim neovim in mehreren Daten, Weltwissen, statt Festplatten statt Computer die Welt";23;
"Cluster Dateisystem, mehrere Rechner zu einem Dateisystem";"vernetztes kombiniertes Weltwissen";24;
"Datenbus, Mounten Dateisystem einbinden oder Image von Daten oder Tarball, RAID 5,6,10";"";25;
"Datenverbindung Ethernet Wifi etc, Vertrag zwischen zwei Dateisystemen zu ein Dateisystem";"Kooperationen bei Weltwissen, z.B. Nationalbibliotheken mit anderen Nationen, wie deutsche Buecherei oder Nationalbibliothek.";26;
"Datenkolllesionsbehandlung, unmounten, Zugriffs-Prioritaets Listing grey listing black white listing Semaphore Datei Zugriff";"frei machen fuer Weltwisse.";27;
"Topologie fuer Daten zB Router Hub Switch, Daten koennen in allen Topologie Arten angeordnet sein";"Weltwissen das alles Zusammen haelt wie Pullover Stoff Kleidung Wolle Faden Gewebe Acker Teppich Feld Karte Topologie Topographie";28;
"Hub fuer Daten Mehrfachanbindung,Snapshots wie bei BTRFS oder ZFS oder LVM";"Nadel der Tiefe des Weltwissens, dass ein Satz Zehn Bedeutungen hat bei Praedikatenlogik mit zehn Facher Tiefe, statt Ptaedikatenlogik die naemlich nur einfache eins Tiefe hat.";29;
"Switch fuer Daten: Multicast, Unicast, Broadcast, Audio und Video zusammengehoerig wie in AVI oder mp4 Format Abstraktionsstruktur Energietypenunterscheidung";"Weltwissen einer Kategorie von Universen, Energieumwandlungs Gesetz Wissen auch Lebensenergie Wissen kosmisch nicht nur universell.";30;
"Datenzuweisung an Netzwerpartner";"ohne Kollateralschaeden Feinheiten Details des Weltwissens";31;
"Zentrale wie Router oder Telefonzentrale";"Design Form Inhalt Gestaltung des Weltwissens";32;
"Automatisierung fuer Daten";"Automatisierung Technisierung Gewoehnung Weltwissen nach Haerte Quintessenz Schwirigkeit Kompliziertheit kategorisiert";33;
"Kompressionsarten Zip brotli mp3";"Kategorisierung des Weltwissens nach Schwierigkeit Kompliziertheit geordnet";34;
"Datenumwandlung und Verschiebung";"Philantrophisches oder Menschenfeindliches Weltwissen";35;
"Datenbank, Archiv, Dateisystem";"Weltwissen strukturrieren zB Dateisystem Image Zip Datenbank Dateiformat tarball";36;
"Dateisystem Hooks, ggf tracken";"Sockenpuppe Marionatte Weltwissen analog Team";37;
"mehrere Dateisystempfade, ggf. tracken";"alle Wege zum Weltwissen als Pfade von Experten Professionellen";38;
"Rekursive Dateiarbeit wie Dateibaum loeschen";"totale positiv negativ Vernetzung aller Infrastruktur";39;
"Range Bereich Dateitypen jpg mp3 txt";"anvertraute Videos Multimedia aus mehr als einer Perspektive";40;
"Zentrale der Administration eines Repositories wie Git als Team";"Team des Vertrauens";41;
"Diff von Datei oder Git oder Backup Diffs";"Widmerer des Vertrauens von Programinien";42;
"Fork von Git oder Subversion";"Foederales Vertrauen Konnektion";43;
"Alternatives Fork Projekt wie vi vim nvim neovim";"Reise wegen pruefen Vertrauen Trust Privatssphaere";44;
"Fusion von Projekten zu einem wie vi vim nvim neovim";"Einheit bilden aus Forks Gits Diffs Datenträgern Netzwerken Subversions";45;
"multi cursor wie in vim";"Vertrauensperson mit Gewissenhaftigkeit";46;
"Architektur Datenbehandlung, ob Datenbank, ob Dateisystem, ob tar file tarball Teerball, ob Kompressionsdatei, ob Textdatei mit ohne Format, ob Tabelle struct record, ob Bus, ob Datentraeger optisch wie CD DVD oder magnetisch wie Floppy Diskette Festplatte HDD SSD";"";47;
"Daten sind nicht nur vernetzt, sondern neuronal Vernetzt - koennen also voneinander lernen!";"";48;
