0;"S Kontinuum";
1;"Ausdruck Expression Exktrahieren";
2;"Druecken";
3;"Extrahiertes Ausgedruecktes, 3/4 gemaltes gezeichnetes 3/4";
4;"auf Tube druecken quetschen dass Farbe heraus kommt, gepresst halten, 4/3 malen zeichnen 4/3";
5;"der Express Erdruecker Extrahierer, der Rahmen um das Bild";
6;"Expressivitaet, Lautstaerke, Spektralfarbe, Intensitaet des Ausdrucks"; 
7;"Impression, Zeichnen, Malen, Skulptur formen, kreisfoermig in Ellipsen, Farbkreis";
8;"Das Bild, Image, Picture, Skulptur, Collage";
9;"Typen Arten des Ausdrucks, visuell, laut, geschmack, expressiv impressiv abstrakt";
10;"Galerie, Bilder zugehoerig";
11;"wie Stilbruch, chaotischer Stil des expressiven Verhaltens";
12;"Einordnung der Expressivitaet des Extrahiertem des Ausdrucks der Skulptur Malerei Fotographie Zeichnung Collage";
13;"wie Regenbogen Spektrallinien, Verlauf, Farbverlauf, Helligkeitsverlauf, Akustikverlauf, elektromagnetisches EM Spektrum, Farbspektrum, Spektralfarbe, Sinus Cosinus, akustisches Spektruk, Gravitationswellenspektrum etc.";
14;"Fusion von Ideen, Kuenstler arbeiten zusammen, aus einigen Stilrichtungen entsteht eine neue Stilrichtung Epoche Aera Weltordnung Zeitalter Zeit";
15;"Bilderreihe, Musikstueck, Takt, Wiederholung, Rythmus, oder Abwandlung Cover vom Lied, anderer Text gleiche Melodie oder gleicher Text andere Melodie";
16;"Bild zu Bild umwandeln formatieren, Bilder ausdruecken lassen, Extrakt Expressions Umformung";
17;"Die Intelligenzen und Arten Typen Kategorien anderer ihrer Intelligenz sehen fuehlen, also die Intelligenz ueber die Intelligenz anderer.";
18;"Ausdruck des sich angezogen fuehlens wie Rosen Blumen schenken oder Wertschaetzung aeussern oder solidarisch sein und Hungrigen Essen geben.";
19;"Das Ziel-Ergebnis (der hot Dog) von Expression Extrakt";
