AB AB continuumKontinuum (twentyeightAchtundzwanzig) newNeue birthGeburt alikeWie smilarAehnlich starSternen trekReise federationFoederation nowNun confederationKonfoederation democrationDemokration inIn sightSicht possibleMoegliche doableMachbar yesJa weWir canKoennen shouldSollten doTun makeMachen;0
birthGeburt;1
HomeHeim basisBasis frameRahmen;2
AtZu homeHause livingLebens placePlatz locationOrt;3
BedBett coreKern intimacyIntimitaet;4
peelSchale;5
HouseHaus buildingGebaeude;6
gardenGarten;7
NeighboursNachtbarn vicinityNachbarschaft;8
TownStadt villageDorf cityStad townDorf settlementSiedlung colonyKolonie;9
landLand regionRegion fieldFeld geographyGeographie geologyGeologie topographyTopographie topologyTopologie paperPapier planesFlaechen countryLand foundationGrundlage;10
