Regierer Planet Spalte fortgesetzt;Z Kontinuum Bilateral Bijektiv Bidirektional (oder Personalcomputer anschalten oder Spermium und weibliche Eizelle kommen für Fusion zusammen oder nach dem Tiefschlag anfangend so langsam in die Traumwelt oder wieder zurück oder das was hinter einem Wurmloch ist das andere Universum die andere Raumzeit oder der andere Ort im Universum);Datenstrukturen-Grundlage für unter anderem Weltregierungen verschiedener Art, gehört in den Bereich des Q Kontinuums Siebzehn HeptadecagramHeptadegramm Kompression Schwierigkeit Intelligenz Knoten Knäul flixte Fäden als Atom Element Grundlage des Q Kontinuums wie analog Meta-Physik-Teilchen, Kompliziertheit geistige mentale Gehirn Nerven Anstrengung Intelligenz Verwendung von Kopf Gehirn gesamt-Körper Nervensystem wie auch Darm und Herz damit verbunden sind als etwas das vor dem Universum und multidemensionalem Multiversum liegt und im Bereich der Quantenphysik nur vom Dekgramm Zehn J J Kontinuum erfasst wird wobei Physik noch darunter das I Kontinuum neun Nongramm inkludiert besitzt unter dem Dekagramm Zehn J Kontinuum wobei das Thema aber eigentlich die Naturgesetze sind und damit Fünf Pentagramm E Kontinuum und weniger eigentlich aber auch sehr das PentadecagramPentadekagramm Fünzehn O Kontinuum
planetPlaneten percieverWahrnehmer, planetPlaneten seeerSehender, planetsPlaneten phenomenasPhänomene recognizerBemerker;Anbahnung / Interessenabgleich;Punkte schwierig zu verbinden
PlanetPlaneten-correctorKorrigierer orOder planetPlaneten determinatorBestimmer;Sondierungsgespräche;Ecke Kante wird zu Punkt durch die Fusion Kombination Koinzidenz der Art Komplexität aller Arten Typen Varianten die nicht vorgegeben sind und alle sein dürfen sollen, komplex
planetPlaneten inventoriorerInventurer orOder planetsPlaneten stocktakerBestandshalter orOder planetsPlaneten equipmentorerInventator;Verhandlungen;Haken ineinander verhakt so wie Gerätschaften des Ackerbaus zu so etwas wie ein Gerüst sozusagen mehr oder weniger, abstrakt
planetPlaneten changorÄnderer orOder planetPlaneten elitorerElitetor orOder planetPlaneten planerPlaner orOder planetPlaneten schedulorerZeitplaner;Ratifizierung;Linie bzw. eigentlich genauer die Linearität als solches selbst wird bis zu einem Punkt komprimiert mit einem nicht vorgegebenen Verfahren, das eigentlich alles andere als Schwierig sein dürfte, kristallin
planetPlaneten causalKausal chainKetten acknoligerBemerker, reasonorSchlussfolgerer orOder planetPlaneten concluderSchlussfolgerer, planetPlaneten centralizatorZentralisator, planetPlaneten crocodileKrokodil;Unterschrift auf hoher Ebene;Russische Matroschkas ineinander geschachtelt als Strukturgrundlage, kodiert, enkodiert, programmiert
planetPlaneten DJdj diskDisk jockeyJockey planetPlaneten rubberGummi bandBand elasticGummi strapBand plasticPlaste elasticElaste responsibleVerantwortliche;Ratifizierung;Kette Stapel Stack Heap führt z.B. wie beim Turm von Hanoi oder etc. anderem irgendwas zu letztlich kausal zu einem Ganzen Etwas als Kiste Kapsel Atom Element, deklarativ statt kodiert
planetPlaneten navigatorNavigator planetPlaneten captainKapitän planetPlanete surferSurfer planetPlaneten browserSchmökerer;Implementierung;strukturwissenschaftlich Mathematisch linear-kombinierte WinkelRichtungen delegierend statt kodiert und statt deklarativ
planetPlaneten densityDichte locatorLokator planetPlaneten spotPunkt locatorPositionsgeber planetPlaneten locusLokus;Monitoring und Streitbeilegung;ohne Reihenfolge bzw. genauer ohne vorgegebene bzw. feste oder festgelegte Reihenfolge Ordnung die Kompression des Raumes von Außen nach Innen bis zu einem Punkt der eine Koordinate ist oder dann nur noch ein Punkt bleibt als Kompressionsmethodik für was Raum oder das Koordinatensystem oder der Tensor ist
planetPlaneten potentatorPentenziator planetPlaneten variablorVariebeler planetPlaneten unitorUnitator;Anpassung / Neuverhandlung;Z.B. Schraube Mutter, oder auch Banane in Papier gewickelt oder Stohhalm Löffel im Glas Becher Tasse, ja wirklich genau das ist das hier total verallgemeinert echt real mathematisch strukturell wie Variablen Einheiten, usw.
